Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
151,Krepin Diatta,Club Brugge,0,5,1,20,1.09,0.22,0,0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
152,Dénes Dibusz,Ferencváros ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
153,Berat Djimsiti,Atalanta ,0,1,1,100,0.17,0.17,0,0,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
154,Dodô,Shakhtar ,0,1,1,100,0.17,0.17,0,0,25,0,0,0,0,0,0.04,0,0
155,Jeremy Doku,Rennes ,0,8,5,62.5,1.8,1.12,0,0,16.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5
156,Thomas Doyle,Manchester City,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
157,Mohamed Dräger,Olympiacos ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
158,Radu Dr?gu?in,Juventus ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
159,Anders Dreyer,Midtjylland ,1,13,5,38.5,2.38,0.92,0.08,0.2,18.2,1,0,0,1.3,1.3,0.1,-0.3,-0.3
160,Sebastián Driussi,Zenit ,1,10,3,30,3.21,0.96,0.1,0.33,20.6,0,0,0,0.9,0.9,0.09,0.1,0.1
161,Lasha Dvali,Ferencváros ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
162,Paulo Dybala,Juventus ,1,9,4,44.4,3.75,1.67,0.11,0.25,19.3,1,0,0,1.5,1.5,0.17,-0.5,-0.5
163,Artem Dzyuba,Zenit ,1,4,2,50,1.04,0.52,0.25,0.5,10.8,0,0,0,0.5,0.5,0.13,0.5,0.5
164,Éder,Loko Moscow,1,2,1,50,0.73,0.36,0.5,1,21,0,0,0,0.1,0.1,0.03,0.9,0.9
165,Ederson,Manchester City,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
166,Jurgen Ekkelenkamp,Ajax ,0,2,0,0,1.98,0,0,,15.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
167,Nico Elvedi,M'Gladbach ,1,2,1,50,0.41,0.2,0.5,1,6,0,0,0,0.2,0.2,0.12,0.8,0.8
168,Breel Embolo,M'Gladbach ,1,6,2,33.3,2.45,0.82,0.17,0.5,12.2,0,0,0,1.2,1.2,0.2,-0.2,-0.2
169,Youssef En-Nesyri,Sevilla ,4,13,8,61.5,4.9,3.01,0.31,0.5,15.2,0,0,0,1.6,1.6,0.12,2.4,2.4
170,Alexandru Epureanu,Ba?ak?ehir ,0,1,0,0,0.22,0,0,,10,0,0,0,0.1,0.1,0.07,-0.1,-0.1
171,Christian Eriksen,Inter ,0,6,2,33.3,5.35,1.78,0,0,23.9,1,0,0,0.3,0.3,0.04,-0.3,-0.3
172,Aleksandr Erokhin,Zenit ,1,3,1,33.3,1,0.33,0.33,1,12.7,0,0,0,0.6,0.6,0.21,0.4,0.4
173,Gonzalo Escalante,Lazio ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
174,Sergio Escudero,Sevilla ,0,1,0,0,0.97,0,0,,15.3,0,0,0,0,0,0.03,0,0
175,Evander,Midtjylland ,0,7,2,28.6,4.23,1.21,0,0,21,1,0,0,0.6,0.6,0.08,-0.6,-0.6
176,Evanilson,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
177,Fabinho,Liverpool ,0,1,1,100,0.32,0.32,0,0,7,0,0,0,0.1,0.1,0.14,-0.1,-0.1
178,Mohamed Fares,Lazio ,0,4,0,0,1.22,0,0,,23.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
179,Ansu Fati,Barcelona ,1,9,6,66.7,5.06,3.38,0.11,0.17,13,0,0,0,0.9,0.9,0.1,0.1,0.1
180,Felipe,Atlético Madrid,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
181,Luiz Felipe,Lazio ,0,1,0,0,0.51,0,0,,3.6,0,0,0,0.1,0.1,0.13,-0.1,-0.1
182,João Félix,Atlético Madrid,3,22,10,45.5,3.71,1.69,0.14,0.3,15.6,1,0,0,3.2,3.2,0.14,-0.2,-0.2
183,Bruno Fernandes,Manchester Utd,4,19,9,47.4,3.9,1.85,0.11,0.22,21.2,3,2,2,3.6,2.1,0.11,0.4,-0.1
184,Matheus Fernandes,Barcelona ,0,1,0,0,5,0,0,,19.8,0,0,0,0,0,0.03,0,0
185,Carlos Fernández,Sevilla ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
186,Fernandinho,Manchester City,0,1,0,0,0.45,0,0,,13.5,0,0,0,0,0,0.03,0,0
187,Fernando,Shakhtar ,0,2,0,0,4.74,0,0,,16.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
188,Fernando,Sevilla ,0,3,0,0,0.85,0,0,,34.9,1,0,0,0.1,0.1,0.03,-0.1,-0.1
189,Luis Fernando Díaz,Porto ,2,3,2,66.7,1.03,0.69,0.67,1,20.2,0,0,0,0.2,0.2,0.07,1.8,1.8
190,Roberto Firmino,Liverpool ,0,5,2,40,2.68,1.07,0,0,11.2,0,0,0,1.2,1.2,0.24,-1.2,-1.2
191,Junior Firpo,Barcelona ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
192,Alessandro Florenzi,Paris S-G,0,3,1,33.3,0.56,0.19,0,0,20.1,0,0,0,0.1,0,0.01,-0.1,0
193,Phil Foden,Manchester City,1,14,6,42.9,2.79,1.2,0.07,0.17,17.2,1,0,0,1.2,1.2,0.09,-0.2,-0.2
194,Emil Forsberg,RB Leipzig,1,12,2,16.7,2.69,0.45,0,0,14.5,0,1,1,2.4,1.6,0.14,-1.4,-1.6
195,Kostas Fortounis,Olympiacos ,0,3,0,0,0.94,0,0,,26.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
